type,neurons,density,hits,building_time,search_time
s,25230,11402.149999999998,0,10988221,1287054
p0,25230,11402.149999999998,0,4816790,318217
p1,25230,11402.149999999998,-1,NaN,NaN
p2,25230,11402.149999999998,0,10154961,330671
p3,25230,11402.149999999998,0,5502226,337800
p4,25230,11402.149999999998,-1,NaN,NaN
s,25230,11402.149999999998,0,11045877,1286717
p0,25230,11402.149999999998,0,4774298,315130
p1,25230,11402.149999999998,-1,NaN,NaN
p2,25230,11402.149999999998,0,10176748,331280
p3,25230,11402.149999999998,0,5580988,335796
p4,25230,11402.149999999998,-1,NaN,NaN
s,25230,11402.149999999998,0,11003276,1276358
p0,25230,11402.149999999998,0,4809246,317316
p1,25230,11402.149999999998,-1,NaN,NaN
p2,25230,11402.149999999998,0,10173870,331072
p3,25230,11402.149999999998,0,5504812,337593
p4,25230,11402.149999999998,-1,NaN,NaN
s,25230,11502.125,0,10991356,1268655
p0,25230,11502.125,0,4826639,310553
p1,25230,11502.125,-1,NaN,NaN
p2,25230,11502.125,0,10183100,336996
p3,25230,11502.125,0,5492343,338735
p4,25230,11502.125,-1,NaN,NaN
s,25230,11502.125,0,11009748,1278717
p0,25230,11502.125,0,4784680,311788
p1,25230,11502.125,-1,NaN,NaN
p2,25230,11502.125,0,10135565,335089
p3,25230,11502.125,0,5524486,336818
p4,25230,11502.125,-1,NaN,NaN
s,25230,11502.125,0,11002762,1268952
p0,25230,11502.125,0,4814311,311899
p1,25230,11502.125,-1,NaN,NaN
p2,25230,11502.125,0,10146316,333723
p3,25230,11502.125,0,5495219,337372
p4,25230,11502.125,-1,NaN,NaN
s,25230,11502.125,0,11016632,1269350
p0,25230,11502.125,0,4835512,312541
p1,25230,11502.125,-1,NaN,NaN
p2,25230,11502.125,0,10161178,334576
p3,25230,11502.125,0,5511735,337657
p4,25230,11502.125,-1,NaN,NaN
s,25230,11502.125,0,11067291,1270297
p0,25230,11502.125,0,4798393,309649
p1,25230,11502.125,-1,NaN,NaN
p2,25230,11502.125,0,10168182,335836
p3,25230,11502.125,0,5572597,337973
p4,25230,11502.125,-1,NaN,NaN
s,25230,11602.1,0,11071207,1271721
p0,25230,11602.1,0,4834356,311449
p1,25230,11602.1,-1,NaN,NaN
p2,25230,11602.1,0,10167893,328883
p3,25230,11602.1,0,5536212,335372
p4,25230,11602.1,-1,NaN,NaN
s,25230,11602.1,0,11034634,1273853
p0,25230,11602.1,0,4775039,311552
p1,25230,11602.1,-1,NaN,NaN
p2,25230,11602.1,0,10094477,328466
p3,25230,11602.1,0,5569428,337850
p4,25230,11602.1,-1,NaN,NaN
s,25230,11602.1,0,11022062,1270654
p0,25230,11602.1,0,4769552,312847
p1,25230,11602.1,-1,NaN,NaN
p2,25230,11602.1,0,10082571,328742
p3,25230,11602.1,0,5505626,338323
p4,25230,11602.1,-1,NaN,NaN
s,25230,11602.1,0,10971369,1276092
p0,25230,11602.1,0,4795175,311115
p1,25230,11602.1,-1,NaN,NaN
p2,25230,11602.1,0,10126639,327818
p3,25230,11602.1,0,5509956,335178
p4,25230,11602.1,-1,NaN,NaN
s,25230,11602.1,0,10993993,1277884
p0,25230,11602.1,0,4788092,310242
p1,25230,11602.1,-1,NaN,NaN
p2,25230,11602.1,0,10179745,328664
p3,25230,11602.1,0,5564197,335472
p4,25230,11602.1,-1,NaN,NaN
s,25230,11702.075,0,11081398,1284580
p0,25230,11702.075,0,4794947,315133
p1,25230,11702.075,-1,NaN,NaN
p2,25230,11702.075,0,10096986,327357
p3,25230,11702.075,0,5522387,330422
p4,25230,11702.075,-1,NaN,NaN
s,25230,11702.075,0,11053356,1287334
p0,25230,11702.075,0,4790837,317141
p1,25230,11702.075,-1,NaN,NaN
p2,25230,11702.075,0,10097362,328875
p3,25230,11702.075,0,5538388,331895
p4,25230,11702.075,-1,NaN,NaN
s,25230,11702.075,0,11074065,1294206
p0,25230,11702.075,0,4825955,315657
p1,25230,11702.075,-1,NaN,NaN
p2,25230,11702.075,0,10098682,329112
p3,25230,11702.075,0,5507107,333293
p4,25230,11702.075,-1,NaN,NaN
s,25230,11702.075,0,10995118,1285328
p0,25230,11702.075,0,4790655,315574
p1,25230,11702.075,-1,NaN,NaN
p2,25230,11702.075,0,10172845,328436
p3,25230,11702.075,0,5572870,334908
p4,25230,11702.075,-1,NaN,NaN
s,25230,11702.075,0,11011516,1283919
p0,25230,11702.075,0,4773852,312858
p1,25230,11702.075,-1,NaN,NaN
p2,25230,11702.075,0,10123648,327692
p3,25230,11702.075,0,5510304,332721
p4,25230,11702.075,-1,NaN,NaN
s,25230,11802.05,0,11007993,1215757
p0,25230,11802.05,0,4836883,313745
p1,25230,11802.05,-1,NaN,NaN
p2,25230,11802.05,0,10105203,331853
p3,25230,11802.05,0,5507352,346570
p4,25230,11802.05,-1,NaN,NaN
s,25230,11802.05,0,10992144,1216293
p0,25230,11802.05,0,4770557,310368
p1,25230,11802.05,-1,NaN,NaN
p2,25230,11802.05,0,10089499,329686
p3,25230,11802.05,0,5624933,339700
p4,25230,11802.05,-1,NaN,NaN
s,25230,11802.05,0,11064905,1210572
p0,25230,11802.05,0,4846994,310944
p1,25230,11802.05,-1,NaN,NaN
